point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
1599,0.0,1.0,798.6789468287161,12.390893560434394,,,3,,0.0,0.0,2.8930254927097525e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,159.73578936574327,537.2252831219959,41.024223026892486,0.21771241830065355,0.44618916038959927,0.5538108396104008,0.7465084850672704,55.58893565559759,0.0630657399460367,118.7115663388508,78.22875816993464,0.9111568681640957,0.0
1600,0.0,1.0,853.9012440041361,78.17487960418421,,,3,,0.0,0.0,1.1037651162312679e-64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,170.78024880082725,490.73104656323767,37.19233698307833,0.08823529411764704,0.5288904925691397,0.4711095074308603,0.7603254311801958,54.41902119717338,0.02543007255298305,133.58791181774893,91.17647058823529,0.9906714788416475,0.0
1601,0.0,1.0,923.9341994316715,5.159618231844016,,,3,,0.0,0.0,3.4626901004332194e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803332162004044,0.0,184.78683988633432,538.8038558101065,41.10584428555358,0.02346405228758172,0.5894895427119273,0.41051045728807267,0.9674377691094267,48.94291552227322,0.00714300030304157,143.68099560078073,97.65359477124184,1.1157503628782037,0.0
1602,0.0,1.0,811.6687949050947,5.991744604492703,,,3,,0.0,0.0,2.6229028991781424e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,162.33375898101897,546.3902374459467,41.72712316442398,0.20509803921568626,0.4481300574715288,0.5518699425284712,0.7475800865658431,55.77714784329021,0.0662839117638976,120.60663581659499,79.49019607843138,0.9152856302139801,0.0
1603,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,1.067842763197099e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,0.0,3.1173873028630158e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0
1604,0.0,1.0,585.9272777537484,10.432353408194901,,,3,,0.0,0.0,6.620733652884556e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,117.1854555507497,394.032270894769,30.18322020293604,0.425686274509804,0.42658202129545475,0.5734179787045451,0.7304377873777522,34.721990820930245,0.16073000607383367,87.00223534781367,57.43137254901961,0.8705395847737248,0.0
1605,1.0,0.0,26.385920831476486,12.906201397055973,26.385920831476486,12.906201397055973,3,0.0,0.0,122.87591271385917,427.75178788900917,19.75483806851854,0.4071241830065359,0.4212298936506674,0.5787701063493326,0.7063158936740663,54.56530998914756,0.13010509857169214,103.12107464534061,59.28758169934641,0.8732066999067127,0.0,128.1530968801545,598.3414760521811,27.63840812250596,0.4406535947712418,0.3790657915123709,0.620934208487629,0.5252088372834516,54.136335716103225,0.14356132065460217,100.51468875764851,55.93464052287582,0.8685349435772335,0.0
1606,0.0,1.0,798.6789468287162,12.39089356043442,,,3,,0.0,0.0,2.8930083362668128e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,159.73578936574327,537.2252831219959,41.024223026892486,0.21771241830065355,0.44618916038959927,0.5538108396104008,0.7465084850672704,55.58893565559759,0.0630657399460367,118.7115663388508,78.22875816993464,0.9111568681640957,0.0
1607,0.0,1.0,982.4617107342092,2.0012644616136903,,,3,,0.0,0.0,2.0771732919479016e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,196.4923421468419,611.043109910448,46.71296062329072,0.0,0.5334558392785768,0.4665441607214233,0.8721184144287321,58.58624485055981,0.0,149.77938152355117,100.0,1.0481969732527743,0.0
1608,0.0,1.0,782.9840877181873,2.455065202129295,,,3,,0.0,0.0,3.050505276756743e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821544348452585,0.0,156.5968175436375,528.286030984699,40.27984382786152,0.2343790849673203,0.4432261057921732,0.5567738942078267,0.742124635009323,54.64296810683205,0.06889042278206069,116.31697371577599,76.56209150326798,0.9066128048459229,0.0
