c0,eta,lambda_e,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y
2.0,0.15,0.25,0.9,0.6,0.0,0.0,0.3780392156862745,84.92599349562572
2.0,0.15,0.25,0.9,0.65,0.0,0.0,0.3832843137254902,84.58178491590934
2.0,0.15,0.25,1.0,0.35,1.0,1.0,1.0,0.0
2.0,0.15,0.25,1.0,0.4,0.25,0.25,0.4948725490196078,68.18912729632758
2.0,0.15,0.25,1.0,0.45,0.0,0.0,0.3595294117647059,85.80001736813165
2.0,0.15,0.25,1.0,0.5,0.0,0.0,0.3710294117647059,83.75489587435412
2.0,0.15,0.25,1.0,0.55,0.0,0.0,0.41804901960784313,86.27160857837694
2.0,0.15,0.25,1.0,0.6,0.0,0.0,0.4611176470588235,83.25744553926751
2.0,0.15,0.25,1.0,0.65,0.0,0.0,0.46029411764705885,85.19186670689801
2.0,0.15,0.25,1.25,0.35,1.0,1.0,1.0,2.6300328912448576e-43
2.0,0.15,0.25,1.25,0.4,1.0,1.0,1.0,1.4750920947021577e-42
2.0,0.15,0.25,1.25,0.45,1.0,1.0,1.0,5.280410622494835e-27
2.0,0.15,0.25,1.25,0.5,0.95,0.95,0.9832156862745098,1.8145124851612553
2.0,0.15,0.25,1.25,0.55,0.1,0.1,0.5373137254901961,74.97850188708637
2.0,0.15,0.25,1.25,0.6,0.0,0.0,0.47672549019607846,109.34433162261746
2.0,0.15,0.25,1.25,0.65,0.0,0.0,0.4926274509803922,117.77939468733487
2.0,0.15,0.25,1.5,0.35,0.9,0.9,0.99,0.9336147538393675
2.0,0.15,0.25,1.5,0.4,0.9,0.9,0.99,0.9344745348634037
2.0,0.15,0.25,1.5,0.45,0.85,0.85,0.9744999999999999,2.4371602225029383
2.0,0.15,0.25,1.5,0.5,0.3,0.3,0.778,21.357560259395402
2.0,0.15,0.25,1.5,0.55,0.0,0.0,0.5785980392156863,49.7308074193286
2.0,0.15,0.25,1.5,0.6,0.0,0.0,0.5984117647058824,55.670015683922905
2.0,0.15,0.25,1.5,0.65,0.0,0.0,0.4876764705882353,115.56618980556323
2.0,0.15,0.5,0.05,0.35,0.15,0.15,0.5905,73.4250626835094
2.0,0.15,0.5,0.05,0.4,0.0,0.0,0.44314705882352945,101.1889302170465
2.0,0.15,0.5,0.05,0.45,0.0,0.0,0.185,148.33495197375845
2.0,0.15,0.5,0.05,0.5,0.0,0.0,0.05000000000000003,171.4311879802454
2.0,0.15,0.5,0.05,0.55,0.0,0.0,0.04054901960784317,173.10937622862772
