c0,eta,lambda_e,sigma,rho,Y,U,Wage_Rate,Wage_Floor_Binding,collapsed,floored,binding,frac_seeds_collapsed,mixed_basin
1.0,0.0,1.0,0.8,0.4,88.8299436290506,0.5099346405228758,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.8,0.45,87.66161272244864,0.5447712418300653,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.8,0.5,87.50759336821761,0.5676470588235295,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.8,0.55,90.03781486285408,0.5758823529411766,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.8,0.6,90.18024130756596,0.5883660130718954,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.8,0.65,90.27138136747719,0.6013071895424836,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.35,95.26780268223605,0.42150326797385623,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.4,90.53560187473163,0.4902614379084967,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.45,88.08922053044506,0.5358823529411766,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.5,86.50661638121987,0.5690849673202615,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.55,87.41936128822853,0.5850326797385622,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.6,88.32083594097122,0.5976470588235294,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.9,0.65,89.05502743743172,0.605686274509804,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.35,95.27839643944351,0.41339869281045755,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.4,90.6229179690544,0.48496732026143796,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.45,88.65060147339209,0.5265359477124184,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.5,87.8471438038744,0.5605882352941177,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.55,86.92807969841209,0.5866666666666666,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.6,88.51941141614073,0.5932026143790851,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.0,0.65,84.91835949856143,0.6271241830065359,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.35,100.35499845559457,0.35274509803921567,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.4,95.46862304436458,0.4275163398692811,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.45,89.7102284269453,0.5045098039215686,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.5,86.75650572451882,0.5469934640522877,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.55,87.17939032513027,0.5751633986928105,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.6,88.00770603365642,0.5883660130718955,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.25,0.65,86.72339809232373,0.6189542483660131,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.35,104.26755527128687,0.2966666666666667,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.4,96.81587825663037,0.39686274509803915,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.45,90.65861821452899,0.47771241830065353,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.5,88.0939947239931,0.5224836601307189,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.55,86.552467017697,0.5584313725490196,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.6,84.11072737779386,0.6013725490196078,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,1.5,0.65,82.04333545338785,0.6377124183006535,0.9,0.0,False,False,demand,0.0,False
1.0,0.1,0.25,0.05,0.35,81.41698336254855,0.5509803921568628,0.835045355895344,0.0,False,False,demand,0.0,False
1.0,0.1,0.25,0.05,0.4,84.32503001621188,0.5365359477124184,0.8372588145788263,0.0,False,False,demand,0.0,False
1.0,0.1,0.25,0.05,0.45,87.38452437412109,0.52,0.8399615096645793,0.0,False,False,demand,0.0,False
1.0,0.1,0.25,0.05,0.5,98.32058394122684,0.4599999999999999,0.8502857075615755,0.0,False,False,demand,0.0,False
