c0,eta,rr,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y,mean_tax,frac_periods_at_cap
2.0,0.15,0.0,0.9,0.65,0.0,0.0,0.40612745098039216,83.63580088549647,0.0,0.0
2.0,0.15,0.0,1.0,0.35,0.95,0.95,0.9659607843137256,4.5766859298686935,0.0,0.0
2.0,0.15,0.0,1.0,0.4,0.2,0.2,0.4659411764705882,71.32928443829914,0.0,0.0
2.0,0.15,0.0,1.0,0.45,0.0,0.0,0.3513529411764706,85.3996868874016,0.0,0.0
2.0,0.15,0.0,1.0,0.5,0.0,0.0,0.36987254901960787,81.55195038991948,0.0,0.0
2.0,0.15,0.0,1.0,0.55,0.0,0.0,0.3767156862745098,79.9494816909262,0.0,0.0
2.0,0.15,0.0,1.0,0.6,0.0,0.0,0.3849313725490196,77.75049720697588,0.0,0.0
2.0,0.15,0.0,1.0,0.65,0.0,0.0,0.3971862745098039,75.14383791274341,0.0,0.0
2.0,0.15,0.0,1.25,0.35,1.0,1.0,1.0,2.8077094797487953e-43,0.0,0.0
2.0,0.15,0.0,1.25,0.4,1.0,1.0,1.0,3.185545561157951e-42,0.0,0.0
2.0,0.15,0.0,1.25,0.45,1.0,1.0,1.0,3.5558797193634964e-35,0.0,0.0
2.0,0.15,0.0,1.25,0.5,0.9,0.9,0.9368725490196079,7.899520605162948,0.0,0.0
2.0,0.15,0.0,1.25,0.55,0.05,0.05,0.5145882352941177,64.19937300440651,0.0,0.0
2.0,0.15,0.0,1.25,0.6,0.0,0.0,0.5372745098039216,73.39983105139684,0.0,0.0
2.0,0.15,0.0,1.25,0.65,0.0,0.0,0.5733823529411766,80.27557496713028,0.0,0.0
2.0,0.15,0.0,1.5,0.35,0.7,0.7,0.97,2.8711670810860657,0.0,0.0
2.0,0.15,0.0,1.5,0.4,0.9,0.9,0.99,0.9480802490737453,0.0,0.0
2.0,0.15,0.0,1.5,0.45,0.85,0.85,0.985,1.4272778206096306,0.0,0.0
2.0,0.15,0.0,1.5,0.5,0.4,0.4,0.807,18.655734251252856,0.0,0.0
2.0,0.15,0.0,1.5,0.55,0.0,0.0,0.6093823529411765,44.00079471491874,0.0,0.0
2.0,0.15,0.0,1.5,0.6,0.0,0.0,0.6004313725490196,57.73888332761669,0.0,0.0
2.0,0.15,0.0,1.5,0.65,0.0,0.0,0.47897058823529404,116.69576389652721,0.0,0.0
2.0,0.15,0.5,0.05,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.15,0.5,0.05,0.4,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.15,0.5,0.05,0.45,0.0,0.0,0.5016960784313725,90.21205669979867,0.27304638139653126,0.0
2.0,0.15,0.5,0.05,0.5,0.0,0.0,0.11758823529411766,159.33071309802125,0.05818360111351052,0.0
2.0,0.15,0.5,0.05,0.55,0.0,0.0,0.040000000000000036,173.36294495078505,0.016489754211409153,0.0
2.0,0.15,0.5,0.05,0.6,0.0,0.0,0.036833333333333364,173.7258445534083,0.01609556690664512,0.0
2.0,0.15,0.5,0.05,0.65,0.0,0.0,0.04320588235294119,172.86680209758748,0.022189340614779774,0.0
2.0,0.15,0.5,0.3,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.15,0.5,0.3,0.4,0.0,0.0,0.1049313725490196,156.26524411352327,0.0426822440301344,0.0
2.0,0.15,0.5,0.3,0.45,0.0,0.0,0.10261764705882355,158.0085879118008,0.05187389428292423,0.0
2.0,0.15,0.5,0.3,0.5,0.0,0.0,0.15383333333333335,147.74795466443982,0.10092177363485748,0.0
2.0,0.15,0.5,0.3,0.55,0.0,0.0,0.17605882352941177,142.82442726861152,0.13091865644917344,0.0
2.0,0.15,0.5,0.3,0.6,0.0,0.0,0.18432352941176472,141.02800736866433,0.1472492209301789,0.0
2.0,0.15,0.5,0.3,0.65,0.0,0.0,0.13200980392156864,154.76695498351242,0.09442039921699248,0.0
2.0,0.15,0.5,0.4,0.35,0.95,0.95,0.9668823529411764,5.460226070131645,0.007774235359807547,0.0
2.0,0.15,0.5,0.4,0.4,0.0,0.0,0.1354607843137255,148.6867573744164,0.05924949561959747,0.0
2.0,0.15,0.5,0.4,0.45,0.0,0.0,0.1719607843137255,140.99694907333992,0.10766190415117997,0.0
2.0,0.15,0.5,0.4,0.5,0.0,0.0,0.20250980392156864,134.54479380631415,0.15055642593366894,0.0
2.0,0.15,0.5,0.4,0.55,0.0,0.0,0.21923529411764706,131.28441504250483,0.18140598448658135,0.0
2.0,0.15,0.5,0.4,0.6,0.0,0.0,0.2348529411764706,129.90017793703237,0.20663057018075365,0.0
2.0,0.15,0.5,0.4,0.65,0.0,0.0,0.22703921568627453,134.08342147640207,0.19621386684093767,0.0
2.0,0.15,0.5,0.5,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.15,0.5,0.5,0.4,0.0,0.0,0.18188235294117647,134.5343782379613,0.0866212216613608,0.0029411764705882353
2.0,0.15,0.5,0.5,0.45,0.0,0.0,0.21669607843137256,128.5204656797147,0.1502906087413421,0.06862745098039216
