point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi,sigma,draw
212,1.0,0.0,4.312468648178917,2.7480894832398146,4.312468648178917,2.7480894832398146,3,0.0,0.0,-1.2754846119623169,-1.2754846119623169,1.0,1.0,0.4664566570746422,1.0,64.2820344086618,18.78856522195586,4,55.54838026662568,205.11886372214346,7.877042396737354,0.7526143790849673,0.35748937342098075,0.6425106265790194,0.49544146771772574,25.462986727609007,0.20907572798613686,47.671337869888326,24.73856209150327,0.8039048651904429,0.0,55.293283344233224,271.7753850324741,10.676104872238724,0.788235294117647,0.30582681362827796,0.6941731863717221,0.3706019331076226,24.459078247904017,0.23309586370515442,44.617178471994514,21.176470588235293,0.7999720551099179,0.0,0.8,20
213,1.0,0.0,0.7352039177425619,2.730440470475106,0.7352039177425619,2.730440470475106,3,0.0,0.0,0.9535078059777407,0.9535078059777407,0.0,1.0,0.1605197417206854,0.0,1.0828375138881536,7.30272162802676,4,67.17159773012544,227.67118719027795,8.658170887102743,0.6172549019607844,0.4674801041036712,0.5325198958963288,0.5474279797684408,35.689965371479076,0.1427410193509185,58.51342684302269,38.274509803921575,0.82114138536818,0.0,67.36229929132098,318.89034544134535,12.205917676218691,0.6679084967320259,0.4012122935151978,0.5987877064848022,0.3873224507075343,35.27047726545838,0.1622645630262798,55.15638161510228,33.209150326797385,0.8142554683061686,0.0,0.8,21
214,0.0,1.0,262.8453595942162,1.0009319462935613,,,3,,0.0,447.3417268808494,,,0.0,0.5560512466086457,1.0,-2344.687901675484,1117.417345621181,4,0.0,9.116704920628638e-63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799215932373308,0.0,89.4683453761699,257.15569657279593,19.366066319115763,0.44967320261437904,0.5222658853299386,0.4777341146700615,0.6776370410666982,25.909058862866218,0.08959705574576549,70.10227905705415,55.03267973856209,0.8493125439539203,0.0,0.8,22
215,1.0,0.0,0.8848251919160172,5.817164444959036,0.8848251919160172,5.817164444959036,3,0.0,0.0,-1.56726550877997,-1.56726550877997,1.0,1.0,0.4851814359592968,1.0,29.855294666062058,11.928053423947135,4,63.13095235652242,209.01062371487038,8.109326986347348,0.6367320261437908,0.47079110520230577,0.5292088947976942,0.5580188834880265,25.498975199974794,0.1556687524190844,55.02162537017508,36.326797385620914,0.8183593826723671,0.0,62.81749925476643,284.2322968876361,11.33581981125854,0.6839869281045751,0.4083300200584315,0.5916699799415684,0.40496997876395086,25.254398478553437,0.17758639410178093,51.48167944350789,31.60130718954248,0.8120770560204086,0.0,0.8,23
216,1.0,0.0,-0.5292902123989526,6.352352485351762,-0.5292902123989526,6.352352485351762,3,1.0,1.0,-8.816736498041276,-8.816736498041276,1.0,1.0,0.5041623645647456,1.0,63.580472610280815,43.14267374753651,4,61.492378128461034,203.84797803018193,7.924527458352362,0.6463398692810457,0.46975209161253817,0.5302479083874618,0.5563642538091308,24.802416468018606,0.16194866492252277,53.56785067010867,35.36601307189542,0.816975648540898,0.0,59.72903082885278,275.5962960462931,10.708749071738808,0.7018954248366013,0.4037235911597075,0.5962764088402924,0.39520717704814406,24.0469481267567,0.191147331948462,49.02028175711397,29.81045751633987,0.8099396983265077,0.0,0.8,24
217,1.0,0.0,1.924690910974827,7.68779088162163,1.924690910974827,7.68779088162163,3,0.0,0.0,-0.36303539859188066,-0.36303539859188066,1.0,1.0,0.47542420087859966,1.0,39.1582568991089,36.405408885772225,4,71.49281575206741,238.6621685755639,9.267452524400456,0.5900653594771242,0.47295895827253737,0.5270410417274626,0.5600161910866516,29.06673618024718,0.12851470351021832,62.22536322766697,40.99346405228758,0.8250067632987174,0.0,71.42020867234903,332.1260192818429,13.085857306040614,0.6448366013071894,0.40608250829973835,0.5939174917002616,0.3973838584270724,29.107039893738445,0.1487644830429981,58.334351366308425,35.51633986928105,0.8172986863606647,0.0,0.8,25
218,1.0,0.0,0.6818117587650457,8.331675078268097,0.6818117587650457,8.331675078268097,3,0.0,0.0,-6.294383353581924,-6.294383353581924,1.0,1.0,0.4944558461653685,1.0,61.48925328548599,18.498314723135277,4,63.26960132915533,211.01953925121924,8.202700348413991,0.6369281045751634,0.46959078523726233,0.5304092147627376,0.5548071155562799,25.51376145136605,0.15577230986259885,55.06690098074134,36.30718954248366,0.8184147948705652,0.0,62.01072465843895,291.37724956051875,11.246696669651763,0.6931372549019607,0.40102450564180064,0.5989754943581993,0.3887304544058103,25.13384078484007,0.18251840304160918,50.76402798878718,30.686274509803923,0.8110151209184449,0.0,0.8,26
219,1.0,0.0,-7.064243641979696,6.620098281930629,-7.064243641979696,6.620098281930629,3,1.0,1.0,-5.957994381093123,-5.957994381093123,1.0,1.0,0.991424556326282,0.0,7.1875159177868735,40.8082596555805,4,64.68141272709151,202.98744926606955,7.847539606912786,0.6179084967320262,0.4845689846828436,0.5154310153171564,0.5916537082631398,25.89542362977717,0.1469960861004297,56.83387312017873,38.209150326797385,0.8210764716418496,0.0,63.489813850872885,272.5968253257379,10.701811403205133,0.6734640522875815,0.4179178130636861,0.5820821869363139,0.4279386457052656,25.74949137912348,0.17113496303259965,52.78800244766776,32.653594771241835,0.81360540783243,0.0,0.8,27
220,1.0,0.0,-2.250411647633579,3.374810899751919,-2.250411647633579,3.374810899751919,3,1.0,1.0,-2.0955737019124374,-2.0955737019124374,1.0,1.0,0.7769950297177138,0.0,4.062187776358992,12.545609726503246,4,64.024186974144,211.95461460812518,8.269921725687595,0.6314379084967321,0.47141144175191557,0.5285885582480844,0.5588602340175904,25.831064417414,0.15240597587730184,55.7542652484564,36.8562091503268,0.8190720596456744,0.0,63.60507223376151,289.64268922977016,11.624956681580029,0.6809150326797385,0.40734462351691,0.5926553764830901,0.4031001222871385,25.514808526506815,0.17517023812969443,51.980115552181495,31.90849673202614,0.8125021394927378,0.0,0.8,28
221,1.0,0.0,-5.308375303791915,8.744919341515804,-5.308375303791915,8.744919341515804,3,1.0,1.0,-11.67728959024754,-11.67728959024754,1.0,1.0,0.5578997545643055,1.0,45.841086406362614,39.90946750672491,4,63.67242558611289,212.72635134721085,8.24249822060662,0.6349673202614379,0.469160854667084,0.530839145332916,0.553284713118635,25.75812911785995,0.15415443663189907,55.429927365506266,36.503267973856204,0.8186073047834436,0.0,61.33696766806337,286.49885636680773,10.902581607476614,0.6956862745098039,0.4018274317474419,0.5981725682525582,0.3902460807387719,25.002149383925758,0.18426056388480805,50.43438606058677,30.43137254901961,0.810654892907503,0.0,0.8,29
222,1.0,0.0,-2.250411647633579,3.374810899751919,-2.250411647633579,3.374810899751919,3,1.0,1.0,-2.0955737019124374,-2.0955737019124374,1.0,1.0,0.7769950297177138,0.0,4.062187776358992,12.545609726503246,4,64.024186974144,211.95461460812518,8.269921725687595,0.6314379084967321,0.47141144175191557,0.5285885582480844,0.5588602340175904,25.831064417414,0.15240597587730184,55.7542652484564,36.8562091503268,0.8190720596456744,0.0,63.60507223376151,289.64268922977016,11.624956681580029,0.6809150326797385,0.40734462351691,0.5926553764830901,0.4031001222871385,25.514808526506815,0.17517023812969443,51.980115552181495,31.90849673202614,0.8125021394927378,0.0,0.8,30
