sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Tax_Rate,Tax_At_Cap,Dead_Firms,TopK_Share,scenario,spread,c0,eta,benefit_replacement_rate
1.0,0.4,1,136.16965469214298,425.6912335473607,21.27790232820421,114.89175236393876,78.45098039215686,0.21549019607843142,0.5185093065398066,0.6666666666666666,0.4814906934601933,0.4827079938695747,0.9076716332308337,0.15980103037758514,0.15980103037758514,162.06834459586193,162.06834459586193,0.6021458252175073,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3421259873570065,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,2,133.96706444334112,414.59706373501587,20.893500529895196,113.07356391344597,76.90196078431373,0.23098039215686272,0.5162505655312114,0.6666666666666666,0.4837494344687886,0.4955264381696212,0.9139770839804238,0.16615048966455165,0.16615048966455165,160.64219014134187,160.64219014134187,0.6110462062858061,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3650770005201106,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,3,135.56645779885724,429.08300706528263,21.503269093714522,114.06318870514268,76.94117647058823,0.23058823529411765,0.5107921950150278,0.6666666666666666,0.4892078049849721,0.49799784266314956,0.90984412686687,0.1657308961576397,0.1657308961576397,162.4975737200259,162.4975737200259,0.5971337875777792,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3353428164998787,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,4,134.80706164795757,422.9105563603445,21.06089886772952,113.74616278022805,77.31372549019608,0.2268627450980392,0.516102779951958,0.6666666666666666,0.4838972200480421,0.49207665238657605,0.9092883040121955,0.16640140903674214,0.16640140903674214,161.7138207020009,161.7138207020009,0.6009544281797204,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3542991399525286,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,5,134.91179745612004,423.8476414841041,21.198361184554262,113.71343627156575,77.03921568627452,0.2296078431372549,0.5139062844328638,0.6666666666666666,0.4860937155671363,0.49546400845797334,0.9097842857100996,0.16635835533463222,0.16635835533463222,161.83380598404503,161.83380598404503,0.6007436208778831,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3395053723665538,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,6,132.42454424392994,408.7035170283769,20.5875078173343,111.83703642659562,76.0,0.23999999999999996,0.5164434256359117,0.6666666666666666,0.4835565743640884,0.5013797972824257,0.9124877473783414,0.17176769383152002,0.17176769383152002,159.88228321244924,159.88228321244924,0.6129150260217068,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35248659133290894,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,7,135.5724533875231,425.74116807855415,21.24970584412909,114.322747543394,77.86274509803921,0.22137254901960787,0.5168054055988488,0.6666666666666666,0.4831945944011512,0.4879533897717793,0.9103062032890867,0.16351714555326738,0.16351714555326738,162.0739614787088,162.0739614787088,0.6005329960368706,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3526457739103647,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,8,135.80801164990655,426.92644201988776,21.34953597262388,114.45847567728269,77.58823529411765,0.22411764705882353,0.5141693457884015,0.6666666666666666,0.48583065421159854,0.4922111637152643,0.911072171976669,0.1628417752335315,0.1628417752335315,162.22494374489105,162.22494374489105,0.6000934338228793,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3512659510995696,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,9,135.80341859620717,423.4336029690797,21.263446365643794,114.53997223056334,78.01960784313725,0.21980392156862746,0.5169693647188227,0.6666666666666666,0.4830306352811772,0.4871004480050534,0.9093888961154439,0.1605661633072673,0.1605661633072673,161.780652157465,161.780652157465,0.6044047436154808,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.338070931261634,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,10,132.5602907274708,417.70716117063455,20.78724054547038,111.77305018200043,75.09803921568627,0.2490196078431372,0.5097795002935627,0.6666666666666666,0.4902204997064374,0.5117998561994205,0.9138317443192058,0.17688866999208647,0.17688866999208647,161.0478916206566,161.0478916206566,0.6008673282413154,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35578911782074135,S1_anchor,0.1,2.0,0.0,0.0
1.0,0.4,11,135.73680112010166,425.9735721985175,21.294164073967696,114.44263704613397,77.86274509803921,0.2213725490196079,0.5162423041654429,0.6666666666666666,0.4837576958345571,0.4875813742285921,0.9062012618692679,0.16265788217887636,0.16265788217887636,162.10388503552488,162.10388503552488,0.6004167353387494,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3358926102144468,S1_anchor,0.1,2.0,0.0,0.0
