point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
174,1.0,0.0,74.40332651905963,2.802414688201892,74.40332651905963,2.802414688201892,3,0.0,0.0,65.33596274870703,65.33596274870703,0.0,1.0,0.11617081247921308,0.0,96.92244485059781,13.972757559211992,4,94.51450368203098,553.3752177209097,16.68597690058763,0.6533986928104575,0.30559277564592147,0.6944072243540785,0.38028299300485763,45.656094670895094,0.14027861194227514,77.82852678144334,34.66013071895424,0.8336415735969346,0.0,107.5816962317724,959.7684900413843,29.24098428225472,0.6401960784313726,0.2792292547567744,0.7207707452432257,0.24930498944548604,45.30906602269749,0.13672864467979484,78.34071194951765,35.98039215686274,0.8350435783969217,0.0
175,1.0,0.0,120.78187204883424,12.097537482830683,120.78187204883424,12.097537482830683,3,0.0,0.0,73.82830378792573,73.82830378792573,0.0,1.0,0.3542417191156152,1.0,414.32250475224583,123.4604189415181,4,127.66783954634623,770.0364688165142,23.100329241513624,0.53640522875817,0.307724659720853,0.692275340279147,0.3721771962778539,71.21532848004638,0.08698497627187923,104.5675103048326,46.359477124183,0.8474176398422567,0.0,142.4335003039314,1326.1053122031415,39.01262794722887,0.5273202614379086,0.2815866449711862,0.7184133550288139,0.24109884091504394,69.47069987857726,0.08659813134265389,103.4208723567025,47.267973856209146,0.8485947305626907,0.0
176,1.0,0.0,120.78187204883424,12.097537482830683,120.78187204883424,12.097537482830683,3,0.0,0.0,73.82830378792573,73.82830378792573,0.0,1.0,0.3542417191156152,1.0,414.32250475224583,123.4604189415181,4,127.66783954634623,770.0364688165142,23.100329241513624,0.53640522875817,0.307724659720853,0.692275340279147,0.3721771962778539,71.21532848004638,0.08698497627187923,104.5675103048326,46.359477124183,0.8474176398422567,0.0,142.4335003039314,1326.1053122031415,39.01262794722887,0.5273202614379086,0.2815866449711862,0.7184133550288139,0.24109884091504394,69.47069987857726,0.08659813134265389,103.4208723567025,47.267973856209146,0.8485947305626907,0.0
177,1.0,0.0,53.67969891781663,23.59111376077132,53.67969891781663,23.59111376077132,3,0.0,0.0,46.11173764882312,46.11173764882312,0.0,1.0,0.1514245839682244,0.0,76.9986872983,2.9495404915688708,4,89.02894919299167,531.4785547968412,16.056402544060564,0.675359477124183,0.3030705904774576,0.6969294095225423,0.37259977162590086,49.46811456198426,0.15411703074109262,72.9725466489311,32.464052287581694,0.8312937205350165,0.0,98.2512967227563,894.2752930978726,26.823029999033704,0.6727450980392155,0.2769941956989546,0.7230058043010453,0.2441915796845012,47.80489232512499,0.15688656368149018,71.42826672372257,32.725490196078425,0.831578784642644,0.0
178,1.0,0.0,57.36440151326601,21.91146812642573,57.36440151326601,21.91146812642573,3,0.0,0.0,49.290791127547116,49.290791127547116,0.0,1.0,0.14758471282832644,0.0,81.3875044605528,1.456576029684104,4,88.23371030848601,532.107983909239,15.876115752647422,0.6791503267973855,0.30211504765589287,0.6978849523441072,0.3684862780705256,49.06867035299482,0.15624827998322807,72.35759455583859,32.084967320261434,0.8309660412701795,0.0,98.09186853399542,874.8835664272301,26.762274477355607,0.6718954248366011,0.2781507300200177,0.7218492699799822,0.249666626291144,47.66041212466241,0.15697844775747627,71.3295940566398,32.81045751633987,0.8316796674194588,0.0
179,1.0,0.0,57.36440151326601,21.91146812642573,57.36440151326601,21.91146812642573,3,0.0,0.0,49.290791127547116,49.290791127547116,0.0,1.0,0.14758471282832644,0.0,81.3875044605528,1.456576029684104,4,88.23371030848601,532.107983909239,15.876115752647422,0.6791503267973855,0.30211504765589287,0.6978849523441072,0.3684862780705256,49.06867035299482,0.15624827998322807,72.35759455583859,32.084967320261434,0.8309660412701795,0.0,98.09186853399542,874.8835664272301,26.762274477355607,0.6718954248366011,0.2781507300200177,0.7218492699799822,0.249666626291144,47.66041212466241,0.15697844775747627,71.3295940566398,32.81045751633987,0.8316796674194588,0.0
180,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,2.1436267214320416e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0,0.0,3.899366563208356e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0
181,1.0,0.0,16.146635884963,8.295143563934248,16.146635884963,8.295143563934248,3,0.0,0.0,9.8344662059934,9.8344662059934,0.0,1.0,0.38743018700590426,1.0,71.71832063801084,19.222635301816034,4,85.43129285572087,267.7211425277389,13.39574487768032,0.47477124183006536,0.5056618423886521,0.4943381576113479,0.7562838320766779,22.207928150356242,0.3255512590718532,72.03554797804054,52.52287581699346,0.8226092966574696,0.0,87.39818609691956,372.80569168481924,18.61106192119303,0.5237908496732027,0.4415599124065083,0.5584400875934916,0.549285155521737,21.55765837332538,0.37052457578366566,68.7871241757265,47.62091503267974,0.8104414429557995,0.0
182,1.0,0.0,16.146635884963,8.295143563934248,16.146635884963,8.295143563934248,3,0.0,0.0,9.8344662059934,9.8344662059934,0.0,1.0,0.38743018700590426,1.0,71.71832063801084,19.222635301816034,4,85.43129285572087,267.7211425277389,13.39574487768032,0.47477124183006536,0.5056618423886521,0.4943381576113479,0.7562838320766779,22.207928150356242,0.3255512590718532,72.03554797804054,52.52287581699346,0.8226092966574696,0.0,87.39818609691956,372.80569168481924,18.61106192119303,0.5237908496732027,0.4415599124065083,0.5584400875934916,0.549285155521737,21.55765837332538,0.37052457578366566,68.7871241757265,47.62091503267974,0.8104414429557995,0.0
183,1.0,0.0,8.79136625430607,3.242781160977166,8.79136625430607,3.242781160977166,3,0.0,0.0,3.354870801059134,3.354870801059134,0.0,1.0,0.4258939611706103,1.0,59.31612587275395,11.071155685134363,4,85.39710150042673,245.46163926550204,12.276304923499753,0.45222222222222214,0.5314171660871114,0.4685828339128885,0.8290164868760881,22.078018285420313,0.3075582803657693,73.12079657692698,54.77777777777778,0.8285090860476849,0.0,86.06807566063854,335.86901034215515,16.78756640633097,0.5165359477124184,0.4561138628038684,0.5438861371961315,0.60135003564248,21.677763885118864,0.36359544978395636,69.28050925430757,48.346405228758165,0.8121376803245689,0.0
