c0,eta,rr,sigma,rho,Y,U,Wage_Rate,collapsed,binding,frac_seeds_collapsed,mixed_basin
2.0,0.1,0.0,0.05,0.5,166.25606332473535,0.08666666666666667,1.0092037121773647,False,demand,0.0,False
2.0,0.1,0.0,0.05,0.55,177.55670837787463,0.016143790849673215,1.1955603655591391,False,capital,0.0,False
2.0,0.1,0.0,0.05,0.6,178.18018643144447,0.008431372549019616,1.2352209762627773,False,capital,0.0,False
2.0,0.1,0.0,0.05,0.65,181.15873700176587,0.0,1.246860091631139,False,capital,0.0,False
2.0,0.1,0.0,0.3,0.35,132.36737557434157,0.2684313725490196,0.900040514548592,False,demand,0.0,False
2.0,0.1,0.0,0.3,0.4,126.55844033186872,0.33307189542483656,0.8782168843541515,False,demand,0.0,False
2.0,0.1,0.0,0.3,0.45,129.67760863924823,0.3341830065359477,0.8778446310206226,False,demand,0.0,False
2.0,0.1,0.0,0.3,0.5,161.19737629222598,0.12908496732026145,1.065471144643735,False,demand,0.0,False
2.0,0.1,0.0,0.3,0.55,180.94994608097338,0.010065359477124192,1.2146613273944584,False,profitmax,0.0,False
2.0,0.1,0.0,0.3,0.6,185.20418372839148,0.003333333333333336,1.2468600916311388,False,profitmax,0.0,False
2.0,0.1,0.0,0.3,0.65,192.36983422025352,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.0,0.4,0.35,137.1291940801511,0.2188888888888889,0.9209348510020764,False,demand,0.0,False
2.0,0.1,0.0,0.4,0.4,125.74886781310299,0.3387581699346405,0.8766777023187503,False,demand,0.0,False
2.0,0.1,0.0,0.4,0.45,129.77341317182479,0.3418300653594771,0.8758892158780185,False,demand,0.0,False
2.0,0.1,0.0,0.4,0.5,179.0573303701356,0.020392156862745116,1.1646350749075163,False,profitmax,0.0,False
2.0,0.1,0.0,0.4,0.55,181.62070894294266,0.010130718954248375,1.2162985526946286,False,profitmax,0.0,False
2.0,0.1,0.0,0.4,0.6,189.05076008573766,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.0,0.4,0.65,196.6452835458591,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.0,0.5,0.35,138.82943532460285,0.14581699346405227,0.9543077710158941,False,profitmax,0.0,False
2.0,0.1,0.0,0.5,0.4,126.1086074282975,0.33588235294117647,0.877512795270864,False,demand,0.0,False
2.0,0.1,0.0,0.5,0.45,129.56952013599496,0.34359477124182997,0.8754733647179324,False,demand,0.0,False
2.0,0.1,0.0,0.5,0.5,179.55054778190728,0.02143790849673204,1.1636625389373714,False,profitmax,0.0,False
2.0,0.1,0.0,0.5,0.55,182.6903721500821,0.010065359477124192,1.218481519761522,False,profitmax,0.0,False
2.0,0.1,0.0,0.5,0.6,192.6222311407057,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.0,0.5,0.65,201.35022323204726,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.0,0.6,0.35,138.60066402373005,0.13712418300653595,0.9598815340392347,False,profitmax,0.0,False
2.0,0.1,0.0,0.6,0.4,140.8506467089263,0.1806535947712418,0.9792193506856784,False,profitmax,0.0,False
2.0,0.1,0.0,0.6,0.45,127.24413001176184,0.36013071895424836,0.8713904174068695,False,demand,0.0,False
