sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0
0.3,0.45,16,67.61446751323675,263.66419021842756,13.205249599921922,54.409217913314826,35.294117647058826,0.6470588235294118,0.46975258009681864,0.5488409715364094,0.5302474199031814,0.7576016161033692,0.9109513385183113,0.42396608186151874,0.28437670094285794,117.38072487295062,94.48817980112773,0.7161652969841846,0.0,0.9,0.9960784313725489,0.00392156862745098,0.0,0.0,0.5
0.3,0.45,17,68.6568365317751,269.09214138759046,13.410723071187284,55.24611346058779,35.72549019607843,0.6427450980392158,0.46830238811518243,0.5488409715364094,0.5316976118848176,0.7568678231977854,0.9141693417257005,0.42390513700182036,0.2881415157846862,119.17524519572574,96.44723483045655,0.7116715538458618,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,18,71.85138126503978,289.1987084688171,14.45233555200381,57.39904571303596,37.13725490196079,0.6286274509803921,0.46516800753237547,0.5488409715364094,0.5348319924676245,0.7474573580823749,0.912280013620711,0.4276958505651187,0.3067576462799733,125.54751951792389,103.64559453090953,0.6932475135713492,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,19,67.6043001181011,265.05831934460184,13.259906733083513,54.34439338501759,35.27450980392157,0.6472549019607842,0.46941545294862214,0.5488409715364094,0.5305845470513779,0.7566547185653523,0.9087150271702394,0.4262341424375753,0.2881559417930514,117.82525325345733,94.99067555291859,0.7121372025066375,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,0,71.07720872415682,308.052659807101,15.39255682953684,55.68465189461998,36.15686274509804,0.6384313725490198,0.45782105683102364,0.5488409715364094,0.5421789431689764,0.7517683348098667,0.9095241439100225,0.4580062223827604,0.3562013291051028,131.14005084431463,110.40304769764799,0.6438020750748936,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,1,68.66536203863365,294.0722322863932,14.703611614319648,53.961750424313976,35.0,0.65,0.45874658000458735,0.5488409715364094,0.5412534199954128,0.7570365330094143,0.9060541716876761,0.45944826150258317,0.34846800392389843,127.028288225479,105.39062156912588,0.6515319960761018,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,2,69.21413826284213,296.9727601003804,14.82961361211724,54.3845246507249,35.294117647058826,0.6470588235294116,0.4589213464442838,0.5488409715364094,0.5410786535557163,0.7570867439262837,0.9101820896670701,0.45883234825739405,0.3496966810733754,127.89739877730858,106.43402302241921,0.6501150729809025,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,3,70.7537014388022,305.7864407883267,15.289322039416376,55.46437939938582,36.0,0.64,0.4579265726193009,0.5488409715364094,0.5420734273806991,0.7508910122094987,0.9064012543412349,0.45777341566726887,0.35437105423777826,130.48733404665566,109.5888000425248,0.6456289457622217,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,4,70.30712313665431,293.1602133717881,15.145131659395673,55.16199147725863,36.13725490196079,0.6386274509803922,0.4625637172713176,0.5488409715364094,0.5374362827286825,0.7498300310089372,0.9074541287644161,0.44506275029290665,0.32986454198986803,126.69904724752178,104.96264444029376,0.6708187426882167,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,5,70.79091941739021,306.7805476152054,15.339027380634494,55.45189203675574,36.0,0.64,0.4576858199703045,0.5488409715364094,0.5423141800296956,0.7508559326655065,0.9056343073602842,0.45867919587104317,0.35612466784010754,130.77442964953173,109.94507147823275,0.6438753321597663,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,6,72.30016913667406,307.11706957117667,15.67944842727606,56.620720709398,37.01960784313726,0.6298039215686274,0.460693252890959,0.5488409715364094,0.5393067471090409,0.7454452615629702,0.9094404265732324,0.44758727168472767,0.3428251676004666,130.85105077797354,109.99828232467196,0.6579586935690495,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,7,68.2207228986959,298.0522818629236,14.49051647264802,53.730206426047864,34.705882352941174,0.6529411764705884,0.45758420223679014,0.5488409715364094,0.5424157977632099,0.7607073539750219,0.9086045188699823,0.4678690917686866,0.36193315951559707,128.12910108592152,106.90157034434142,0.6374263411059853,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,8,72.78687524842721,316.09767480621343,15.804883740315473,56.98199150811175,37.0,0.6299999999999999,0.4575000628388639,0.5488409715364094,0.5424999371611361,0.7459200528880994,0.9079416244340507,0.4544396039878643,0.3574841780615954,133.41671386060088,113.28417567809714,0.6425158219384092,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,9,67.85602535472174,290.5881814734037,14.507389898731693,53.348635455990035,34.6078431372549,0.6539215686274509,0.45900493430099404,0.5488409715364094,0.5409950656990059,0.7603756834602162,0.9081844167236741,0.46133895241009254,0.34844949094159217,125.9717542512711,104.14651998092354,0.6516351946967175,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,10,68.54965611561009,291.1290031846733,14.556450159233659,53.993205956376435,35.0,0.65,0.4595209047712033,0.5488409715364094,0.5404790952287967,0.7580761956018325,0.9088320765687231,0.45654600644300825,0.3429901819970588,126.13699950375155,104.33581696537635,0.6570098180029414,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,11,68.18437602562075,288.2032731757115,14.547662581503085,53.63671344411767,34.94117647058823,0.6505882352941175,0.4610690193447056,0.5488409715364094,0.5389309806552943,0.7567495549973803,0.9056922054995068,0.45549722856436164,0.33956551468455587,125.21953690691636,103.25849216445026,0.6613083365022338,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.5,12,75.00799827266796,331.7120998130426,16.585604990652197,58.422393282015776,38.0,0.6200000000000001,0.45595137568765215,0.5488409715364094,0.5440486243123476,0.7378359659125594,0.9039486493318803,0.4550877474063125,0.36904510419885117,137.65151713077276,118.88012720374775,0.6309548958011488,0.0,0.9,1.0,0.0,0.0,0.0,0.5
