sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0,anchor
0.05,0.45,14,71.87305668471087,308.9108893359969,15.445544466799852,56.42751221791104,35.0,0.65,0.43827271933323514,0.4533160371119064,0.5617272806667648,0.7635958588502594,0.9066546877589226,0.09856069652702004,0.06944972828176005,79.7314432683434,77.23715619576245,0.9305502717182398,0.0,0.9,0.09999999999999998,0.0,0.9,0.0,1.0,rho050
0.05,0.45,15,74.06031710300906,322.4142232963132,16.120711164815727,57.939605938193345,36.0,0.64,0.4374812486278645,0.4533160371119064,0.5625187513721355,0.7575458733838022,0.9068004239936602,0.11003081952330261,0.08129026681224272,83.21672112661236,80.61340206556113,0.9187097331877572,0.0,0.9,0.09999999999999998,0.30000000000000004,0.6000000000000001,0.0,1.0,rho050
0.05,0.45,16,71.91456661466962,310.24027157932466,15.512013578966203,56.40255303570341,35.0,0.65,0.43801974318752857,0.4533160371119064,0.5619802568124715,0.7645415129504376,0.9085425345284318,0.1019049807126605,0.07290201241882126,80.07456345959427,77.56954235473692,0.9270979875811787,0.0,0.9,0.09999999999999998,0.0,0.9,0.0,1.0,rho050
0.05,0.45,17,69.88146963188066,302.1099140513927,15.105495702569671,54.775973929311,34.0,0.6599999999999998,0.437884322713785,0.4533160371119064,0.562115677286215,0.7711191007500348,0.9111154260081141,0.10380886316381521,0.07486737833054746,77.97607760168502,75.53670467892022,0.9251326216694529,0.0,0.9,0.19999999999999996,0.09999999999999998,0.7000000000000002,0.0,1.0,rho050
0.05,0.45,18,74.14318841219685,326.0645170841567,16.30322585420789,57.839962557988976,36.0,0.64,0.4369922671773052,0.4533160371119064,0.5630077328226949,0.7580220327116639,0.9082692831080115,0.11900932759848896,0.09055872604314393,84.15888015032937,81.52608698922346,0.909441273956856,0.0,0.9,0.3999999999999999,0.09999999999999998,0.5,0.0,1.0,rho050
0.05,0.45,19,76.20997644840963,335.4796560479849,16.773982802399242,59.435993646010395,37.0,0.6299999999999999,0.43695066645956043,0.4533160371119064,0.5630493335404396,0.751223811798808,0.9049542535010398,0.11986512178243852,0.09144215842384677,86.58897441122794,83.88015926008813,0.9085578415761535,0.0,0.9,0.30000000000000004,0.09999999999999998,0.6000000000000001,0.0,1.0,rho050
0.05,0.5,0,70.22734289096435,322.95198061485166,16.14759903074264,54.079743860221704,34.0,0.6599999999999998,0.4357277200065772,0.4533160371119064,0.5642722799934228,0.7685422294200822,0.910794833897873,0.15749618312887192,0.13028847094115745,83.35551897173963,80.74785781782242,0.8697115290588426,0.0,0.9,0.3999999999999999,0.0,0.6000000000000001,0.0,1.0,rho050
0.05,0.5,1,73.26874532435205,339.64947745573426,16.984574792204388,56.284170532147655,35.509803921568626,0.6449019607843137,0.4361785161758127,0.4533160371119064,0.5638214838241873,0.7582882564687246,0.905714466502603,0.16422000299015338,0.13721895023095343,87.66522605900016,84.92220576391442,0.8628944982759936,0.0,0.9,0.3784313725490195,0.08823529411764704,0.5333333333333334,0.0,1.0,rho050
0.05,0.5,2,74.41555332509168,350.5521483526931,17.527607417634687,56.88794590745697,36.0,0.64,0.4353928520622216,0.4533160371119064,0.5646071479377782,0.7547891491684039,0.9062682517786248,0.1775402041820599,0.15097979632677366,90.47925953764715,87.6487426366746,0.8490202036732267,0.0,0.9,0.7000000000000002,0.0,0.30000000000000004,0.0,1.0,rho050
0.05,0.5,3,80.64198348421243,385.3470351400943,19.26735175700473,61.374631727207706,39.0,0.6099999999999999,0.43525715121914943,0.4533160371119064,0.5647428487808506,0.7351376464554793,0.9020027390963549,0.1892017704380113,0.1630179926264305,99.45998960527706,96.3485269381897,0.8369820073735699,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,1.0,rho050
