sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Price,c0,eta,enable_prices,prices
0.05,0.45,8,96.47897282469309,384.020540335031,19.201027016751546,77.27794580794155,53.0,0.46999999999999986,0.4944082487971051,0.5120135414510577,0.5055917512028949,0.6381200637736271,0.9091593786422634,0.24667341486171104,0.21773424566605473,128.07058018134637,123.33273224626765,0.7822657543339456,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,9,96.47735161094798,382.66456541009063,19.133228270504585,77.34412334044337,53.0,0.46999999999999986,0.494416556875999,0.5120135414510577,0.5055834431240009,0.6384966775147691,0.909328513690561,0.24401993002393677,0.2149754723762494,127.61890880800968,122.8972448835229,0.7850245276237506,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,10,94.65464581880627,373.6153959767197,18.680769798836018,75.97387601997026,52.0,0.48,0.4944289801642429,0.5120135414510577,0.5055710198357571,0.6449717853508823,0.9086450560865272,0.2403550826589155,0.2111521031012813,124.60380324812449,119.99099723905219,0.7888478968987185,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,11,98.3009080392322,392.68271723739616,19.63413586186985,78.66677217736236,54.0,0.46,0.49440031602356693,0.5120135414510577,0.5055996839764331,0.630576327119251,0.9050906463972045,0.24935277761812694,0.22054357062459556,130.95486815672788,126.11469266858553,0.7794564293754046,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,0,101.06116543888298,430.48645299742196,21.5471372365083,79.51402820237466,55.509803921568626,0.44490196078431365,0.49434226278898796,0.5120135414510577,0.505657737211012,0.6178768759224301,0.9087943556539904,0.2957012107784919,0.26899422543148865,143.49357626100058,138.2516421356094,0.7310899332314377,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,1,101.95883336419126,437.49310488948043,21.874655244474017,80.08417811971725,56.0,0.44,0.49431715072664684,0.5120135414510577,0.5056828492733532,0.6138140986962708,0.9078567116983924,0.3006928979061541,0.27434574453798377,145.79979676869996,140.50607792450026,0.725654255462016,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,2,96.49497329628794,408.08262063328146,20.40413103166406,76.09084226462387,53.0,0.46999999999999986,0.4943262676858523,0.5120135414510577,0.5056737323141478,0.6338902024806016,0.9078590628533135,0.2908736507172265,0.2637374809278464,136.0758536104111,131.06055353448116,0.7362625190721537,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,3,96.49523279929706,408.85265350083057,20.442632675041587,76.05260012425549,53.0,0.46999999999999986,0.4943249383025218,0.5120135414510577,0.5056750616974781,0.6317822207838512,0.9029765052797828,0.2922019464794013,0.2651221810654149,136.33158825363856,131.30785868485512,0.7348778189345849,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,4,94.67286042729981,396.5449108072084,19.82724554036042,74.84561488693942,52.0,0.48,0.49433385437781446,0.5120135414510577,0.5056661456221856,0.6406941715247126,0.9068589284096017,0.28408384152982813,0.25662282866075675,132.24015034051547,127.35508175041267,0.7433771713392434,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,5,98.3169724231112,420.09930134682054,21.00496506734107,77.31200735577013,54.0,0.46,0.49431953407645485,0.5120135414510577,0.5056804659235452,0.6262949817114847,0.9077453565703968,0.2980439243474442,0.2712935078222143,140.0614309545128,134.91985247624828,0.7287064921777862,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
