point,beta,lambda_u,rho,seed,Output,Unemployment_Rate,Total_Capital,Investment,Average_Utilization,Util_Effect_mean,Util_Effect_sd,Util_Effect_min,Util_Effect_max,Expected_Utilization_mean
1,0.05,0.75,0.45,3,80.69464598413086,0.615294117647059,397.84906254455825,19.41866361415326,0.4834067411018189,0.9791786910179314,0.0006015172451022493,0.9780841772780027,0.9803516123860696,0.48344851091602065
1,0.05,0.75,0.45,4,84.48291655507244,0.5952941176470589,410.09013865862266,20.55963901863076,0.49261071399981166,0.9796779036477289,0.0007870294164439598,0.9786050384012854,0.9810737360739148,0.49284755373850314
1,0.05,0.75,0.45,5,85.17707517142712,0.5925490196078432,415.08323668650837,20.72914500710828,0.4903182864056841,0.979530920001797,0.00033897167915299494,0.979008508666511,0.9802228074775904,0.49039331481324694
1,0.05,0.75,0.45,6,83.64668383660741,0.5988235294117646,403.87184063193314,20.253414969995063,0.495158102276266,0.9797680829413252,0.0005021909871286385,0.978909708372225,0.9804066749426804,0.49520899141382485
1,0.05,0.75,0.45,7,88.23031296067317,0.5798039215686275,436.3420774052188,21.78778756203961,0.4837576666420324,0.979214535439466,0.000489270249393491,0.9785340599632318,0.9799229538405543,0.48389092717885335
1,0.05,0.75,0.45,8,83.27132366020969,0.6007843137254902,402.9832560048694,20.07701753636348,0.4933202047386067,0.979664339628325,0.0008514624023095206,0.9783701715388109,0.9808945515915657,0.4933118516955802
1,0.05,0.75,0.45,9,85.53218955980302,0.588627450980392,409.6901257570428,20.79137014731011,0.5018447326737198,0.9800946475965412,0.0008209473089567696,0.9789988793165761,0.9815848420668374,0.5018567874879954
1,0.05,0.75,0.45,10,79.27631533181408,0.6233333333333334,396.87298291403704,18.89049435007992,0.4747688143411857,0.9787351746639338,0.0010608983727319783,0.977253804304647,0.981101430474658,0.4747524840755578
1,0.05,0.75,0.45,11,85.10957373917961,0.5913725490196079,409.58841684836,20.748003863366076,0.49671519230312977,0.9798154088337779,0.0006176100361085998,0.9789886389443175,0.9809560410351243,0.49661343839623684
1,0.05,0.75,0.45,12,80.26524731806826,0.6147058823529412,385.42971865266344,19.147870876937002,0.49643138475619686,0.9798280158953949,0.00026125684063292906,0.979420504507065,0.9801756220521234,0.49646361804412215
1,0.05,0.75,0.45,13,85.08604658930564,0.5907843137254903,408.8065394985648,20.592988443441538,0.4983626756490602,0.9799882109604561,0.001453059171751571,0.978101688887992,0.9820108995050584,0.49871306153907574
