point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
47,0.0,1.0,946.7405597066778,3.5548030050013018,,,5,,0.0,0.0,3.871714794297607e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,189.34811194133562,920.2559187905588,46.010850394892806,0.00152941176470586,0.5395758046435137,0.46042419535648627,0.6044123472521928,61.593635224602245,0.0006641538036988271,143.3372615464428,99.84705882352941,1.0232426111095123,0.0
48,0.0,1.0,945.0485282178303,6.969628964451717,,,5,,0.0,0.0,1.2297468825838077e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,189.00970564356612,921.8687678226246,46.10070038259777,0.0041568627450980205,0.5378452973686437,0.4621547026313563,0.6010782140381987,61.607288377707086,0.0006004113249863483,142.9090052609683,99.5843137254902,1.020826658900067,0.0
49,0.0,1.0,602.847965906194,24.912851787714374,,,5,,0.0,0.0,9.501513945343261e-38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,120.56959318123884,690.8007699363975,34.53227155259136,0.38674509803921564,0.4488908074805685,0.5511091925194315,0.45722529269497497,45.622515806396834,0.0795405746204506,86.03732162864746,61.325490196078434,0.8824672855757676,0.0
50,0.0,1.0,926.5208131537729,2.969996804115776,,,5,,0.0,0.0,6.20764876256941e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,185.30416263075463,824.1247653999841,41.20623826999934,0.0,0.5522007609537274,0.44779923904627256,0.6605149371642502,62.23851547199426,0.0,144.0979243607553,100.0,1.0232426111095123,0.0
51,0.0,1.0,945.6468987170141,4.5549362917325675,,,5,,0.0,0.0,9.369843064082603e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,189.1293797434029,872.5791835528577,43.629039755561436,0.0,0.5410378295430505,0.45896217045694954,0.6094893315872626,63.640806743222434,0.0,145.50033998784144,100.0,1.0232426111095123,0.0
52,1.0,0.0,157.4721707649024,24.703527766981885,157.4721707649024,24.703527766981885,5,0.0,0.0,142.03645382123094,562.3209597051269,28.055659527156745,0.34592156862745094,0.4086313051587383,0.5913686948412618,0.580322788427713,69.71776733372634,0.053934401818047165,113.98079429407419,65.4078431372549,0.887363507854116,0.0,173.53088797421142,1192.7217116186139,59.7626727505246,0.33909803921568615,0.33829493648828296,0.6617050635117171,0.3345788466221786,68.96109279131592,0.05300481922716325,113.76821522368682,66.09019607843138,0.8882607339491368,0.0
53,1.0,0.0,156.82008209025184,25.34268103192642,156.82008209025184,25.34268103192642,5,0.0,0.0,142.16687155616106,562.6850280895915,28.075290886898166,0.3452549019607843,0.40871327480536895,0.591286725194631,0.5805264458357557,69.77503281574486,0.05378868342782418,114.09158066926288,65.47450980392156,0.8874467450780219,0.0,173.53088797421142,1192.7217116186137,59.7626727505246,0.33909803921568615,0.33829493648828296,0.6617050635117171,0.3345788466221787,68.96109279131593,0.05300481922716325,113.76821522368682,66.09019607843138,0.8882607339491368,0.0
54,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,3.075989458163123e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,8.012010685062881e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
55,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.183478988356901e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,3.811340508121217e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
56,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.0626722858339652e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,3.2863016902971544e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
