sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Expected_Demand,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0,eta,lambda_e
0.7,0.35,93.46436091997018,273.55463718625555,13.646962612988762,79.8173983069814,54.75098039215686,0.45249019607843133,0.5271423338831366,0.613353217974504,0.4728576661168633,0.6270365023931053,0.9080352205562834,0.31409621944062843,0.23219424411504774,136.26025650553257,121.7411116200188,0.7679969564176653,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,98.88009392041926,91.42756990466565,95.79715881232669,20,0.0,False,False,0.046751391275253525,demand,1.0,0.0,0.25
0.7,0.4,89.53504789995326,301.6393657649162,15.087936792349918,74.44711110760335,48.88333333333333,0.5111666666666667,0.49118895752768116,0.613353217974504,0.5088110424723189,0.6739300019124272,0.9087584629518906,0.36815959482137045,0.33278918044981803,141.68866391136572,134.2282569057142,0.6673314272760875,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,95.40405766750624,86.81090020405435,93.02440086326457,20,0.0,False,False,0.06939741257695212,demand,1.0,0.0,0.25
0.7,0.45,87.61070041694578,332.0597161695134,16.627365820379115,70.98333459656666,45.28137254901961,0.547186274509804,0.46505851831115963,0.613353217974504,0.5349414816888404,0.7011130643395902,0.9083230649005252,0.40450035484917646,0.40068608740987743,147.1054639934109,146.1901629593894,0.5933097983092083,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,93.9308706785172,84.09181900438308,91.0061631944274,20,0.0,False,False,0.07892122945186426,demand,1.0,0.0,0.25
0.7,0.5,87.91066842418306,366.93529322203824,18.521120039031594,69.38954838515147,43.56764705882353,0.5643235294117648,0.44595961110784066,0.613353217974504,0.5540403888921593,0.7140769530817636,0.9084904935143866,0.4247781488276593,0.4247781488276593,152.81007995323583,152.81007995323583,0.5392332963246556,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.48507321660598,83.5866995666111,92.5314506446126,20,0.0,False,False,0.10174818640715647,demand,1.0,0.0,0.25
0.7,0.55,88.45892320102828,407.7512741002976,20.414966236926784,68.04395696410151,42.095098039215685,0.5790490196078432,0.4282199069141989,0.613353217974504,0.571780093085801,0.7254024849907479,0.9090223107276583,0.4433561715804154,0.4433561715804154,158.89703419620247,158.89703419620247,0.48789665611554334,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,95.47942271747155,85.87482132831069,92.12984145785883,20,0.0,False,False,0.07071101369087694,demand,1.0,0.0,0.25
0.7,0.6,90.50857466688993,454.7997202496652,22.79390266371611,67.71467200317382,41.654901960784315,0.5834509803921569,0.4141587744174074,0.613353217974504,0.5858412255825927,0.7286157339406844,0.9086028195937021,0.4524169749653294,0.4524169749653294,165.21682057749598,165.21682057749598,0.4477964350480653,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,97.55131212445727,83.75062870262711,96.2223431401877,20,0.0,False,False,0.1377959434612887,demand,1.0,0.0,0.25
0.7,0.65,91.35266343714002,496.6516536318857,24.700967431916453,66.65169600522357,40.83627450980392,0.5916372549019608,0.40221555570243916,0.613353217974504,0.5977844442975607,0.733828493435794,0.9084266300038942,0.46409857709815283,0.46409857709815283,170.41974884872727,170.41974884872727,0.41341367748334046,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,99.1601914033691,86.48512854267182,96.23595489876392,20,0.0,False,False,0.10673828205131283,demand,1.0,0.0,0.25
0.8,0.35,94.23173141434874,266.17321144742755,13.317391625912606,80.91433978843614,56.19117647058823,0.43808823529411767,0.5366040343646846,0.6306329798931225,0.4633959656353154,0.6145392822157836,0.9079364891893678,0.30894483428183506,0.25378134940901104,136.35243144673373,126.32350000122592,0.7463077889032872,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,99.54034969554668,91.8748125822825,98.09871222456609,20,0.0,False,False,0.06604887280396363,demand,1.0,0.0,0.25
0.8,0.4,89.49214518457431,295.12090528993065,14.702200161815416,74.7899450227589,49.345098039215685,0.5065490196078432,0.4961123927120138,0.6306329798931225,0.5038876072879861,0.6699467888413058,0.9084060880713887,0.3685547671825612,0.359559054105133,141.71287721267095,139.75765484956588,0.6391104219316903,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,95.33467796493561,86.39910713351692,93.0760944579079,20,0.0,False,False,0.07460975832705691,demand,1.0,0.0,0.25
0.8,0.45,88.4213339103035,327.09599104080405,16.45990148815707,71.96143242214643,46.14607843137255,0.5385392156862745,0.4695345145670872,0.6306329798931225,0.5304654854329127,0.6951293832935972,0.9086667910719589,0.39922706439091277,0.3992225245316479,147.17354921042303,147.17244935423238,0.5702255112914617,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.44964557282643,84.9263075866361,91.69298589664622,20,0.0,False,False,0.07652766601411358,demand,1.0,0.0,0.25
