point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
812,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.893652461902657e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.5201853737467377e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
813,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,5.424169742253836e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,2.0391123697660457e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
814,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.8611217364395495e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.4729832319744382e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
815,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.9383241194882114e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.5330308518816567e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
816,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.878087096612064e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.5009826789301517e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
817,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.3633068088228475e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.0487506262411662e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
818,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,3.9609059787251146e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793712317489245,0.0,0.0,1.4007176949331472e-74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793712317489245,0.0
819,1.0,0.0,67.06331134330976,12.234394178645639,67.06331134330976,12.234394178645639,3,0.0,0.0,60.298318677175025,60.298318677175025,0.0,1.0,0.0778348849807841,0.0,79.42782214520683,26.33617493360791,4,121.63880132103998,454.6535076934697,22.535414401563013,0.45516339869281036,0.38856625125809535,0.6114337487419045,0.6385792245151832,55.563077660601095,0.11961874913669408,99.10338691947697,54.48366013071896,0.8675688531652411,0.0,133.698465056475,734.5017912843272,36.44481635355669,0.4669281045751634,0.34531352408771837,0.6546864759122816,0.4340319611745711,54.572620385645706,0.12477584669192933,97.25364870291828,53.30718954248366,0.8660713204558966,0.0
820,1.0,0.0,72.29466019044526,3.3175776534022967,72.29466019044526,3.3175776534022967,3,0.0,0.0,48.757518521288794,48.757518521288794,0.0,1.0,0.3444527727121254,0.0,232.3881352662446,6.6708200630224885,4,121.75254375979195,451.8698525787764,22.413373054835876,0.45705882352941174,0.3867163110548992,0.6132836889451009,0.6178458826941681,55.907199097885126,0.11988338714737877,99.33917070495608,54.29411764705882,0.8673669285499573,0.0,131.5040474640497,732.7736165529592,35.91573651097335,0.4937254901960784,0.3321844628789614,0.6678155371210387,0.41008609463942847,54.64964792989533,0.1339919286957691,95.58831095307634,50.627450980392155,0.8629942067022832,0.0
821,1.0,0.0,65.56256328213901,6.3857862681398405,65.56256328213901,6.3857862681398405,3,0.0,0.0,65.76252387791868,65.76252387791868,0.0,1.0,-0.4469330402431823,0.0,34.61837347301211,81.88029120570938,4,120.397669047158,454.49834185165264,22.498242385012137,0.46274509803921565,0.37917348953699564,0.6208265104630044,0.6261919675564057,55.64109969354979,0.12068182410756896,97.8994266621459,53.72549019607843,0.8498441417448396,0.0,133.55017382274175,742.5830105836421,36.773810025824865,0.46882352941176464,0.3375357464848989,0.662464253515101,0.4246291355304051,54.97927305375632,0.12341209160441464,96.77636379691688,53.11764705882353,0.848660237944256,0.0
