token,kind,occurrences,files,category,false_positive_note
0.42,decimal,3,paper/sections/01_introduction.tex;paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.420,decimal,2,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.421,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.423,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.427,decimal,2,paper/sections/07_stress.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.436,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.440,decimal,1,paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.444,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.446,decimal,1,paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.447,decimal,3,paper/appendices/a_validation.tex;paper/sections/09_sensitivity.tex;paper/sections/10_discussion.tex,LITERATURE_OR_DESIGN,
0.45,decimal,6,paper/sections/02_literature.tex;paper/sections/04_calibration.tex;paper/sections/06_shape.tex,COVERED_PARAM,
0.450,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.451,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.452,decimal,2,paper/sections/06_shape.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
