sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,config
1.0,0.4,12,91.29473476955856,279.2045848387874,14.091095689594795,77.20363907996376,52.27450980392157,0.47725490196078424,0.5150747204979363,0.6666666666666666,0.4849252795020636,0.6440638419186496,0.9029310799781648,0.35169782022119733,0.35169782022119733,140.80806836240174,140.80806836240174,0.5957270413833314,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,13,87.86019746442965,279.835756945956,13.557251004458548,74.30294645997112,49.21568627450981,0.5078431372549018,0.5041596349735403,0.6666666666666666,0.49584036502645973,0.6705073483762237,0.9097786369300428,0.3764656853894094,0.3764656853894094,140.90899037168242,140.90899037168242,0.5705706225432446,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,14,93.56059397120006,279.75558269519433,14.460299580588012,79.10029439061205,54.23529411764706,0.45764705882352935,0.521372665012335,0.6666666666666666,0.4786273349876651,0.6301089743914513,0.9077058851766951,0.33608611534301835,0.33608611534301835,140.88037427856057,140.88037427856057,0.6107924861979049,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,15,93.04436307870388,291.7692183460181,14.606751893925436,78.43761118477846,52.568627450980394,0.474313725490196,0.5084748257687698,0.6666666666666666,0.49152517423123016,0.6461742910896483,0.9070790883732608,0.34885645571647855,0.34885645571647855,142.89362538394474,142.89362538394474,0.5813801546762468,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,16,91.31884012412465,279.1523722794888,14.064046618790522,77.25479350533412,52.294117647058826,0.4770588235294116,0.5153126014709358,0.6666666666666666,0.48468739852906423,0.6462029350009894,0.9093561773118581,0.3514559812200019,0.3514559812200019,140.80270804485122,140.80270804485122,0.5971409210599471,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,17,91.52347951330147,283.05121933714884,14.148391786010663,77.37508772729079,52.07843137254902,0.47921568627450967,0.5120522058806455,0.6666666666666666,0.4879477941193547,0.6509486307272282,0.9147627214931814,0.3529930387183236,0.3529930387183236,141.45565148551339,141.45565148551339,0.5892597288065801,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,18,92.88131630117111,283.31789007494746,14.380871938515202,78.50044436265591,53.254901960784316,0.4674509803921569,0.5159528023634018,0.6666666666666666,0.4840471976365982,0.6401158930268359,0.9104511796949106,0.3435762241504833,0.3435762241504833,141.49567037019185,141.49567037019185,0.5983190088980062,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,19,91.82698622835072,281.0304738915453,14.2074092237488,77.61957700460192,52.549019607843135,0.47450980392156866,0.5147846744795829,0.6666666666666666,0.4852153255204171,0.6437926447573928,0.9071691853891437,0.3493484397944041,0.3493484397944041,141.11551248872206,141.11551248872206,0.5956399477953055,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.65,0,85.81803917584992,442.6353333644179,22.34387348985792,63.474165685991984,37.86274509803921,0.6213725490196078,0.39684450581142744,0.6666666666666666,0.6031554941885725,0.7556337661689428,0.9115989356210915,0.4773683324736593,0.4773683324736593,164.18617143752425,164.18617143752425,0.35380339264731603,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.65,1,83.02075651457648,434.9820728543594,21.318836896086758,61.70191961848975,36.294117647058826,0.6370588235294118,0.39331330100181766,0.6666666666666666,0.6066866989981823,0.7652007549801806,0.9091007725551635,0.49145360998054355,0.49145360998054355,163.2294893517154,163.2294893517154,0.3471624648734584,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
