sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0
0.6,0.6,91.15539498524312,461.6231388718426,23.049333221656326,68.10606176358678,42.41960784313726,0.5758039215686275,0.418742004992508,0.596546932993319,0.581257995007492,0.7219659779931347,0.9081429895938203,0.45077404320298387,0.45077404320298387,165.93784799107715,165.93784799107715,0.47139358305850837,0.0,0.9,1.0,0.0,0.0,0.0,86.62751090434752,95.2764252562566,20,0.0,False,False,0.09488099254365835,demand,1.0
0.6,0.65,93.9766194947629,512.0456882174909,25.642776573184488,68.33384292157841,42.733333333333334,0.5726666666666667,0.4091977673946955,0.596546932993319,0.5908022326053045,0.7193551564746468,0.9079480266235718,0.4542944974691322,0.4542944974691322,172.17026240518126,172.17026240518126,0.43820034800000085,0.0,0.9,1.0,0.0,0.0,0.0,87.37276738833916,98.99321321881837,20,0.0,False,False,0.12365252009439213,demand,1.0
0.7,0.35,92.86333753948179,271.8375728540639,13.527324215702128,79.33601332377967,54.4156862745098,0.455843137254902,0.5271312888112072,0.613353217974504,0.4728687111887928,0.6291113644279351,0.9081891642438956,0.31673611985535144,0.23224692382719506,135.90521257944087,120.98668171324883,0.7677620703138155,0.0,0.9,1.0,0.0,0.0,0.0,90.17282143791623,96.53194191330275,20,0.0,False,False,0.068478267569081,demand,1.0
0.7,0.4,89.65602798653066,301.54173255243023,15.123032714193187,74.53299527233746,48.97941176470589,0.5102058823529412,0.4915304895378999,0.613353217974504,0.5084695104621001,0.6729667020110158,0.9082533200326532,0.3672382422529081,0.3316910891591009,141.67815653438421,134.17333831073424,0.6684748989466471,0.0,0.9,1.0,0.0,0.0,0.0,86.83268352072227,94.94551703380493,20,0.0,False,False,0.09048843335220563,demand,1.0
0.7,0.45,87.98878499623112,333.9978692188518,16.727727996724187,71.26105699950693,45.45,0.5455,0.4647172981338185,0.613353217974504,0.5352827018661814,0.7001903776845415,0.9084827219882975,0.4032850083906868,0.40080028675358037,147.4419486944765,146.84371901126036,0.5924481485396241,0.0,0.9,1.0,0.0,0.0,0.0,85.22089364322477,92.31051764675281,20,0.0,False,False,0.08057417776403798,demand,1.0
0.7,0.5,87.44585499901757,368.4714636692226,18.418111179706216,69.02774381931135,43.154901960784315,0.5684509803921569,0.444069887597344,0.613353217974504,0.555930112402656,0.7173365010194808,0.9087813529442291,0.42872041829243557,0.42872041829243557,153.0594564123471,153.0594564123471,0.5335157620823895,0.0,0.9,1.0,0.0,0.0,0.0,85.18343888132826,89.49429455122734,20,0.0,False,False,0.049297427190202615,demand,1.0
0.7,0.55,89.08879839719593,407.42317056791364,20.59700191058613,68.4917964866098,42.54803921568627,0.5745196078431373,0.42965954098493364,0.613353217974504,0.5703404590150664,0.7219334866050381,0.9087520955832646,0.4392372030553019,0.4392372030553019,158.8377468418524,158.8377468418524,0.4921713775196911,0.0,0.9,1.0,0.0,0.0,0.0,85.91801838461205,93.58191579661478,20,0.0,False,False,0.08602537636475684,demand,1.0
0.7,0.6,88.57627049478722,445.5923010516511,22.139704479559335,66.4365660152279,40.75,0.5925,0.41392168508700716,0.613353217974504,0.5860783149129929,0.7340217174612451,0.9081841740945931,0.460200397961897,0.460200397961897,164.0511230084506,164.0511230084506,0.4468351017525875,0.0,0.9,1.0,0.0,0.0,0.0,82.46603467987197,92.4267691480541,20,0.0,False,False,0.11245375779022368,demand,1.0
0.7,0.65,90.98229629598413,494.24880945746406,24.56455670077367,66.41773959521045,40.67647058823529,0.5932352941176471,0.4023220024276828,0.613353217974504,0.5976779975723173,0.7348257497103851,0.9084257457398988,0.4653779399266574,0.4653779399266574,170.11946924089858,170.11946924089858,0.4138311456384137,0.0,0.9,1.0,0.0,0.0,0.0,83.81708339085644,98.64053751646762,20,0.0,False,False,0.16292679707036006,demand,1.0
0.8,0.35,94.68405145198325,268.2195634350056,13.424322989194778,81.25972846278847,56.39509803921569,0.43604901960784315,0.5358524953178961,0.6306329798931225,0.46414750468210375,0.6132943846708274,0.9076111682076814,0.30765866087700044,0.25606598226780525,136.75390828231812,127.29323140572312,0.7440103210789492,0.0,0.9,1.0,0.0,0.0,0.0,92.66608100553464,97.2618801951221,20,0.0,False,False,0.04853826086981625,demand,1.0
0.8,0.4,89.38510193602504,293.83615584965315,14.65918803303688,74.72591390298815,49.37352941176471,0.506264705882353,0.49686289932841754,0.6306329798931225,0.5031371006715825,0.6693522090277779,0.9082912750147024,0.3682710534787896,0.35818659165184485,141.48662746515745,139.30574519623838,0.6411212881056482,0.0,0.9,1.0,0.0,0.0,0.0,87.30712199664227,92.16561572313472,20,0.0,False,False,0.054354625337562294,demand,1.0
0.8,0.45,87.61646525777812,326.06212949118924,16.280344978848554,71.33612027892954,45.588235294117645,0.5441176470588236,0.4681595609246131,0.6306329798931225,0.5318404390753869,0.6990171274918515,0.9083199545464268,0.4040136938035371,0.4040136938035371,147.00092280665214,147.00092280665214,0.5664409308328928,0.0,0.9,1.0,0.0,0.0,0.0,85.5446487920763,90.4094757872257,20,0.0,False,False,0.05552411845007097,demand,1.0
0.8,0.5,87.80419739212648,364.29409006804883,18.252371361149613,69.55182603097687,43.44313725490196,0.5655686274509805,0.4451366637778461,0.6306329798931225,0.5548633362221539,0.7157470438506606,0.9084192166734457,0.42622532010614245,0.42622532010614245,153.01559050266454,153.01559050266454,0.5080956192353009,0.0,0.9,1.0,0.0,0.0,0.0,85.91371405494645,91.72012836870209,20,0.0,False,False,0.06612912009006425,demand,1.0
0.8,0.55,88.01982839791827,398.62872977555895,20.05456247112253,67.96526592679575,41.8921568627451,0.5810784313725491,0.4282104154327392,0.6306329798931225,0.5717895845672609,0.7271260192004976,0.9090276851044943,0.4428974622937634,0.4428974622937634,157.97217125124777,157.97217125124777,0.46588194278429407,0.0,0.9,1.0,0.0,0.0,0.0,83.97382931289798,91.67566481876152,20,0.0,False,False,0.08750114202728547,demand,1.0
0.8,0.6,87.95617814136776,435.00103518482865,21.784413771054684,66.17176437031307,40.294117647058826,0.5970588235294118,0.41213548087676977,0.6306329798931225,0.5878645191232302,0.7379438536175899,0.9086914228963539,0.4601401703822086,0.4601401703822086,162.89379898193525,162.89379898193525,0.4263331120391272,0.0,0.9,1.0,0.0,0.0,0.0,84.13494021481881,91.41786925309815,20,0.0,False,False,0.08280179052998222,demand,1.0
0.8,0.65,90.06086093505039,481.5036756044965,24.179624866531633,65.88123606851875,39.93529411764706,0.6006470588235294,0.398905145395745,0.6306329798931225,0.6010948546042549,0.7407171838356227,0.9089214473885825,0.4662466780374796,0.4662466780374796,168.69753468707114,168.69753468707114,0.39466597194943687,0.0,0.9,1.0,0.0,0.0,0.0,85.62334120888198,93.72965977532608,20,0.0,False,False,0.09000933904340726,demand,1.0
0.9,0.35,95.5680938681854,262.1858032109271,13.11489003504588,82.45320383313951,57.8,0.422,0.5442040012868099,0.6483995578309835,0.4557959987131901,0.6014430747787326,0.9074139543892304,0.30176090668038696,0.2832188731313986,136.86570373236935,133.37136292859938,0.7167095229850323,0.0,0.9,1.0,0.0,0.0,0.0,93.04645169261748,98.11627865912249,20,0.0,False,False,0.053049367851761134,demand,1.0
0.9,0.4,90.70051753635498,287.55752524125705,14.458192637487283,76.2423248988677,51.00686274509804,0.48993137254901964,0.5059274909325542,0.6483995578309835,0.49407250906744576,0.6565770134331423,0.9084454316209459,0.3585046656375797,0.3584581945427206,141.38105325390922,141.3710952354333,0.6205183972040577,0.0,0.9,1.0,0.0,0.0,0.0,88.08005355779866,94.19245582738954,20,0.0,False,False,0.06739104070868034,demand,1.0
0.9,0.45,87.77648262179868,317.99712986973947,15.932659778528109,71.84382284327057,46.194117647058825,0.5380588235294118,0.4735479476311243,0.6483995578309835,0.5264520523688757,0.6942473202014195,0.908449905762051,0.4006199242796128,0.4006199242796128,146.43872682441847,146.43872682441847,0.5427240069018449,0.0,0.9,1.0,0.0,0.0,0.0,85.40118160027203,90.11190921582158,20,0.0,False,False,0.053667308997178725,demand,1.0
